Student_ID,GPA,SAT_Score,Class_Rank
118,4.0,1265.0,1
119,3.89,1173.0,12
120,3.72,1248.0,29
121,3.11,1055.0,90
122,2.92,1017.0,109
123,3.32,1139.0,69
124,3.33,1044.0,68
125,3.25,955.0,76
126,3.23,1021.0,78
127,3.31,1027.0,70
128,4.0,1334.0,1
129,3.55,987.0,46
130,3.92,1254.0,9
131,3.74,1152.0,27
132,3.28,1053.0,73
133,3.89,1277.0,12
134,3.55,1162.0,46
135,3.52,973.0,49
136,4.0,1296.0,1
137,2.94,1077.0,107
138,3.0,1173.0,101
139,4.0,1171.0,1
140,4.0,1209.0,1
141,2.8,975.0,121
142,3.08,1029.0,93
143,3.16,1093.0,85
144,3.42,1078.0,59
145,3.23,1014.0,78
146,4.0,1254.0,1
147,3.85,969.0,16
148,3.93,1152.0,8
149,2.01,801.0,161
150,2.79,891.0,122
151,3.5,1249.0,51
152,4.0,1239.0,1
153,3.95,1370.0,6
154,3.51,1112.0,50
155,4.0,1306.0,1
156,3.67,1234.0,34
157,4.0,1272.0,1
158,3.14,963.0,87
159,3.07,918.0,94
160,3.2,1120.0,81
161,3.53,904.0,48
162,2.57,868.0,140
163,3.43,1079.0,58
164,3.76,1077.0,25
165,2.91,979.0,110
166,3.84,1173.0,17
167,3.22,1131.0,79
168,2.58,1087.0,139
169,3.09,918.0,92
170,2.68,1008.0,133
171,4.0,1381.0,1
172,3.47,1042.0,54
173,4.0,1212.0,1
174,4.0,1242.0,1
175,3.44,1032.0,57
176,3.6,1334.0,41
177,3.8,1069.0,21
178,3.6,1132.0,41
179,3.4,1135.0,61
180,4.0,1239.0,1
181,4.0,1082.0,1
182,3.29,1002.0,72
183,4.0,1347.0,1
184,3.27,1089.0,74
185,3.19,935.0,82
186,3.95,1205.0,6
187,4.0,1096.0,1
188,3.61,1263.0,40
189,2.84,878.0,117
190,2.99,864.0,102
191,3.33,1420.0,68
192,3.24,1040.0,77
193,3.93,1195.0,8
194,3.66,1030.0,35
195,2.74,926.0,127
196,3.27,1213.0,74
197,3.44,795.0,57
198,2.88,966.0,113
199,3.65,1061.0,36
200,3.53,1040.0,48
201,4.0,1264.0,1
202,4.0,1257.0,1
203,2.73,773.0,128
204,3.85,1109.0,16
205,3.14,1020.0,87
206,3.04,1156.0,97
207,4.0,1153.0,1
208,4.0,1362.0,1
209,3.92,1335.0,9
210,4.0,1120.0,1
211,3.0,989.0,101
212,4.0,1269.0,1
213,3.62,951.0,39
214,2.98,1049.0,103
215,4.0,1065.0,1
216,3.25,1161.0,76
217,2.94,1017.0,107
218,4.0,1335.0,1
219,3.13,1062.0,88
220,3.18,1173.0,83
221,3.55,1168.0,46
222,3.29,1058.0,72
223,3.49,1057.0,52
224,3.34,1051.0,67
225,3.77,1208.0,24
226,4.0,1420.0,1
227,3.48,950.0,53
228,3.03,963.0,98
229,3.84,1223.0,17
230,2.24,929.0,156
231,3.49,1016.0,52
232,3.55,1060.0,46
233,3.38,1051.0,63
234,3.69,1178.0,32
235,2.98,749.0,103
236,4.0,1131.0,1
237,2.68,1046.0,133
238,3.68,1191.0,33
239,2.67,1103.0,134
240,3.4,1198.0,61
241,4.0,1400.0,1
242,3.09,1041.0,92
243,3.28,1056.0,73
244,3.92,1327.0,9
245,3.15,1143.0,86
246,3.62,1190.0,39
247,3.97,1204.0,4
248,4.0,1293.0,1
249,3.27,1015.0,74
250,2.42,850.0,150
251,4.0,1096.0,1
252,3.23,1010.0,78
253,2.98,1000.0,103
254,3.99,1239.0,2
255,3.25,1059.0,76
256,2.82,779.0,119
257,4.0,1162.0,1
258,4.0,1243.0,1
259,4.0,1341.0,1
260,3.05,1094.0,96
261,3.6,1222.0,41
262,3.37,1086.0,64
263,2.86,928.0,115
264,3.27,1224.0,74
265,3.73,1095.0,28
266,2.56,822.0,141
267,2.95,1037.0,106
268,3.24,1053.0,77
269,3.66,1149.0,35
270,3.63,1153.0,38
271,3.53,1018.0,48
272,3.5,1013.0,51
273,4.0,1248.0,1
274,2.34,873.0,153
275,4.0,1182.0,1
276,4.0,1146.0,1
277,4.0,1240.0,1
278,2.85,983.0,116
279,4.0,1186.0,1
280,4.0,1147.0,1
281,3.2,1035.0,81
282,4.0,1226.0,1
283,2.73,1035.0,128
284,4.0,1303.0,1
285,3.43,1031.0,58
286,4.0,1347.0,1
287,2.99,911.0,102
288,4.0,1089.0,1
289,4.0,1188.0,1
290,3.72,1248.0,29
291,3.18,1047.0,83
292,3.59,1012.0,42
293,3.51,1107.0,50
294,3.34,1064.0,67
295,3.43,1010.0,58
296,3.83,1102.0,18
297,3.0,1091.0,101
298,3.24,1083.0,77
299,2.97,970.0,104
300,3.8,1224.0,21
301,3.87,1252.0,14
302,3.52,1008.0,49
303,2.98,1027.0,103
304,4.0,1311.0,1
305,3.23,1066.0,78
306,3.08,1001.0,93
307,3.49,1104.0,52
308,3.7,1126.0,31
309,3.32,1222.0,69
310,3.11,1000.0,90
311,3.12,1065.0,89
312,3.4,1211.0,61
313,3.35,950.0,66
314,2.66,1017.0,135
315,3.59,1284.0,42
316,3.59,1345.0,42
317,3.13,1188.0,88
318,3.84,1282.0,17
319,3.76,942.0,25
320,3.36,1129.0,65
321,3.29,1057.0,72
322,3.48,1257.0,53
323,3.76,1075.0,25
324,2.56,868.0,141
325,3.56,1071.0,45
326,4.0,1100.0,1
327,3.64,1103.0,37
328,3.19,948.0,82
329,3.88,1148.0,13
330,3.71,1123.0,30
331,3.71,1067.0,30
332,3.26,976.0,75
333,4.0,1122.0,1
334,3.85,1155.0,16
335,3.26,1108.0,75
336,3.66,1120.0,35
337,3.4,1054.0,61
338,3.39,1099.0,62
339,2.74,1037.0,127
340,3.28,1083.0,73
341,3.81,1047.0,20
342,3.53,1321.0,48
343,3.49,1309.0,52
344,3.5,1154.0,51
345,3.78,1268.0,23
346,3.35,1014.0,66
347,3.6,1386.0,41
348,3.87,1234.0,14
349,4.0,1147.0,1
350,3.05,986.0,96
351,3.4,843.0,61
352,3.83,1001.0,18
353,2.81,1008.0,120
354,4.0,1204.0,1
355,2.78,946.0,123
356,3.45,1207.0,56
357,3.75,1238.0,26
358,3.59,999.0,42
359,3.65,1114.0,36
360,3.1,1203.0,91
361,4.0,1248.0,1
362,3.92,1189.0,9
363,3.6,1144.0,41
364,3.88,1293.0,13
365,3.33,1028.0,68
366,3.69,1079.0,32
367,4.0,1234.0,1
368,3.54,1036.0,47
369,4.0,1063.0,1
370,2.65,951.0,136
371,3.06,1113.0,95
372,2.82,1054.0,119
373,4.0,1105.0,1
374,2.97,940.0,104
375,4.0,1151.0,1
376,3.58,984.0,43
377,3.7,1151.0,31
378,3.41,1193.0,60
379,3.74,1092.0,27
380,3.66,1288.0,35
381,3.79,1192.0,22
382,3.65,1082.0,36
383,3.0,910.0,101
384,3.6,1306.0,41
385,4.0,1227.0,1
386,2.5,884.0,145
387,3.36,1071.0,65
388,3.28,896.0,73
389,2.99,905.0,102
390,2.73,1065.0,128
391,2.65,821.0,136
392,3.61,1150.0,40
393,3.82,1044.0,19
394,3.99,1239.0,2
395,2.98,896.0,103
396,3.9,1135.0,11
397,4.0,1315.0,1
398,3.44,1171.0,57
399,3.2,1090.0,81
400,2.97,1203.0,104
401,3.28,987.0,73
402,4.0,1119.0,1
403,3.7,1097.0,31
404,4.0,1302.0,1
405,3.52,1185.0,49
406,3.27,1347.0,74
407,3.75,1245.0,26
408,4.0,1046.0,1
409,3.76,1150.0,25
410,2.81,990.0,120
411,3.88,1115.0,13
412,3.61,1017.0,40
413,3.59,1087.0,42
414,3.05,1208.0,96
415,3.53,967.0,48
416,3.19,1085.0,82
417,3.85,1209.0,16
418,4.0,1180.0,1
419,3.95,1157.0,6
420,3.06,1009.0,95
421,4.0,1139.0,1
422,3.35,959.0,66
423,3.28,1220.0,73
424,2.7,848.0,131
425,4.0,1089.0,1
426,3.74,1194.0,27
427,3.14,1059.0,87
428,3.3,984.0,71
429,2.84,928.0,117
430,2.95,900.0,106
431,3.08,996.0,93
432,3.34,1081.0,67
433,4.0,1345.0,1
434,3.84,1209.0,17
435,3.04,979.0,97
436,3.78,1078.0,23
437,2.79,1060.0,122
438,2.79,809.0,122
439,3.75,1257.0,26
440,3.61,949.0,40
441,3.84,1330.0,17
442,3.63,1059.0,38
443,4.0,1118.0,1
444,3.73,1140.0,28
445,3.09,1093.0,92
446,2.33,1052.0,154
447,3.38,892.0,63
448,4.0,1158.0,1
449,3.1,1119.0,91
450,3.72,1081.0,29
451,3.15,1007.0,86
452,3.35,1039.0,66
453,3.55,1096.0,46
454,2.97,1074.0,104
455,2.72,731.0,129
456,3.38,1212.0,63
457,3.21,1111.0,80
458,3.73,1315.0,28
459,3.76,1177.0,25
460,3.63,1201.0,38
461,3.62,1103.0,39
462,3.16,1028.0,85
463,3.73,1065.0,28
464,3.57,1095.0,44
465,3.3,927.0,71
466,3.38,1008.0,63
467,4.0,1172.0,1
468,4.0,1216.0,1
469,3.64,1195.0,37
470,3.19,1052.0,82
471,3.84,1066.0,17
472,2.87,895.0,114
473,3.23,1019.0,78
474,3.07,1084.0,94
475,2.97,1169.0,104
476,2.84,1013.0,117
477,3.82,1163.0,19
478,3.21,912.0,80
479,3.09,1110.0,92
480,4.0,1288.0,1
481,4.0,1097.0,1
482,4.0,1120.0,1
483,3.54,1232.0,47
484,3.44,1207.0,57
485,4.0,1182.0,1
486,2.58,859.0,139
487,3.56,1081.0,45
488,4.0,1311.0,1
489,3.89,1261.0,12
490,2.82,957.0,119
491,4.0,1115.0,1
492,3.58,1264.0,43
493,4.0,1040.0,1
494,3.69,1036.0,32
495,3.76,1144.0,25
496,3.33,1073.0,68
497,4.0,1040.0,1
498,4.0,1111.0,1
499,2.46,855.0,148
500,2.66,1129.0,135
501,3.11,1040.0,90
502,4.0,1129.0,1
503,3.71,1146.0,30
504,3.68,1045.0,33
505,3.74,983.0,27
506,3.53,1101.0,48
507,4.0,958.0,1
508,4.0,1291.0,1
509,3.16,1052.0,85
510,3.06,849.0,95
511,3.63,1289.0,38
512,3.77,1120.0,24
513,3.1,893.0,91
514,3.24,1113.0,77
515,3.49,1147.0,52
516,3.71,1128.0,30
517,2.38,931.0,152
518,3.02,949.0,99
519,3.56,1159.0,45
520,3.26,1004.0,75
521,3.04,987.0,97
522,2.9,843.0,111
523,3.25,1028.0,76
524,4.0,1157.0,1
525,3.38,871.0,63
526,3.21,981.0,80
527,3.62,1059.0,39
528,3.7,1333.0,31
529,4.0,1045.0,1
530,3.44,1141.0,57
531,3.47,1377.0,54
532,3.52,1058.0,49
533,3.26,939.0,75
534,4.0,1242.0,1
535,3.46,1251.0,55
536,3.23,1087.0,78
537,2.5,808.0,145
538,2.87,1134.0,114
539,3.46,1183.0,55
540,3.06,1082.0,95
541,3.36,846.0,65
542,3.22,984.0,79
543,4.0,1233.0,1
544,3.83,1193.0,18
545,3.68,1247.0,33
546,3.2,1187.0,81
547,2.93,1063.0,108
548,2.53,963.0,143
549,3.83,1147.0,18
550,2.93,989.0,108
551,3.74,1160.0,27
552,4.0,1139.0,1
553,4.0,1191.0,1
554,3.78,1249.0,23
555,3.71,1164.0,30
556,3.07,959.0,94
557,3.28,1056.0,73
558,3.24,1018.0,77
559,3.74,1114.0,27
560,3.81,1066.0,20
561,3.32,1046.0,69
562,3.06,859.0,95
563,4.0,1019.0,1
564,3.62,1036.0,39
565,3.94,1138.0,7
566,3.6,1128.0,41
567,4.0,1124.0,1
568,3.07,949.0,94
569,3.21,1222.0,80
570,3.56,1188.0,45
571,3.49,1138.0,52
572,3.21,987.0,80
573,3.47,993.0,54
574,3.44,1153.0,57
575,3.7,1031.0,31
576,3.88,1155.0,13
577,2.72,807.0,129
578,3.75,1158.0,26
579,3.29,969.0,72
580,3.98,1064.0,3
581,3.0,1007.0,101
582,3.27,1222.0,74
583,3.6,1130.0,41
584,3.16,1114.0,85
585,3.67,1111.0,34
586,3.9,1106.0,11
587,3.98,1304.0,3
588,3.57,1241.0,44
589,3.67,1155.0,34
590,2.54,927.0,142
591,4.0,1242.0,1
592,3.23,1198.0,78
593,3.66,1286.0,35
594,4.0,1117.0,1
595,3.17,1036.0,84
596,2.87,972.0,114
597,3.96,1193.0,5
598,3.85,1145.0,16
599,4.0,1318.0,1
600,4.0,1278.0,1
601,3.79,1064.0,22
602,4.0,1175.0,1
603,3.77,1126.0,24
604,3.47,1110.0,54
605,3.77,1173.0,24
606,3.52,1063.0,49
607,2.52,914.0,144
608,4.0,1289.0,1
609,4.0,1183.0,1
610,4.0,1323.0,1
611,2.25,894.0,155
612,3.42,911.0,59
613,2.77,832.0,124
614,3.98,1206.0,3
615,2.95,1051.0,106
616,3.59,1224.0,42
617,3.46,971.0,55
618,3.5,1094.0,51
619,3.3,971.0,71
620,3.3,877.0,71
621,4.0,1161.0,1
622,4.0,1084.0,1
623,3.78,1326.0,23
624,3.06,993.0,95
625,3.77,1144.0,24
626,2.92,954.0,109
627,3.32,1099.0,69
628,3.82,1152.0,19
629,3.0,1040.0,101
630,3.73,1164.0,28
631,4.0,1075.0,1
632,3.9,1107.0,11
633,3.83,1145.0,18
634,2.84,1046.0,117
635,3.49,1035.0,52
636,3.83,1093.0,18
637,4.0,1002.0,1
638,4.0,1199.0,1
639,3.54,1152.0,47
640,3.92,1041.0,9
641,4.0,1031.0,1
642,3.14,1277.0,87
643,3.78,1139.0,23
644,3.34,1140.0,67
645,4.0,1209.0,1
646,3.73,1095.0,28
647,4.0,1375.0,1
648,3.19,953.0,82
649,3.13,1166.0,88
650,3.67,1136.0,34
651,3.03,877.0,98
652,3.62,1042.0,39
653,3.52,1209.0,49
654,3.89,1328.0,12
655,3.69,1206.0,32
656,4.0,1363.0,1
657,4.0,1380.0,1
658,3.02,988.0,99
659,4.0,1173.0,1
660,3.53,1047.0,48
661,3.45,1110.0,56
662,3.14,952.0,87
663,3.13,1081.0,88
664,3.11,1076.0,90
665,3.0,1072.0,101
666,3.38,1078.0,63
667,4.0,1248.0,1
668,3.88,1212.0,13
669,3.64,1269.0,37
670,2.89,885.0,112
671,2.75,1090.0,126
672,3.15,1055.0,86
673,3.13,1135.0,88
674,3.73,1179.0,28
675,4.0,1311.0,1
676,3.1,1086.0,91
677,4.0,1124.0,1
678,3.77,1188.0,24
679,3.12,870.0,89
680,3.01,1041.0,100
681,2.49,1015.0,146
682,2.12,782.0,159
683,3.63,1095.0,38
684,3.73,852.0,28
685,3.75,1015.0,26
686,3.4,1043.0,61
687,3.76,1132.0,25
688,2.86,940.0,115
689,3.77,1178.0,24
690,3.79,1345.0,22
691,4.0,1272.0,1
692,3.48,1040.0,53
693,3.61,1154.0,40
694,4.0,1098.0,1
695,4.0,1144.0,1
696,3.82,1189.0,19
697,2.97,1016.0,104
698,2.75,1143.0,126
699,2.18,940.0,158
700,4.0,1270.0,1
701,3.43,1067.0,58
702,3.31,1078.0,70
703,3.95,1327.0,6
704,4.0,1283.0,1
705,2.91,830.0,110
706,2.85,1129.0,116
707,2.76,882.0,125
708,3.58,1093.0,43
709,2.79,986.0,122
710,3.1,1126.0,91
711,3.64,1062.0,37
712,4.0,1124.0,1
713,2.95,994.0,106
714,3.33,1076.0,68
715,2.75,1083.0,126
716,3.15,1173.0,86
717,3.88,1075.0,13
718,3.48,1117.0,53
719,2.38,990.0,152
720,4.0,1077.0,1
721,3.92,1288.0,9
722,3.38,1042.0,63
723,3.93,1195.0,8
724,3.3,1131.0,71
725,3.23,1093.0,78
726,3.99,1247.0,2
727,4.0,1228.0,1
728,4.0,1221.0,1
729,4.0,1147.0,1
730,2.63,856.0,137
731,3.36,955.0,65
732,3.12,1182.0,89
733,4.0,1124.0,1
734,4.0,1184.0,1
735,4.0,1188.0,1
736,4.0,1150.0,1
737,3.56,1045.0,45
738,3.27,1072.0,74
739,3.7,1094.0,31
740,3.32,1035.0,69
741,3.67,1078.0,34
742,3.64,1249.0,37
743,3.34,992.0,67
744,3.74,1174.0,27
745,3.1,1063.0,91
746,2.8,790.0,121
747,3.97,1202.0,4
748,4.0,1210.0,1
749,3.89,1366.0,12
750,3.64,1154.0,37
751,3.04,1015.0,97
752,3.03,1104.0,98
753,3.2,1115.0,81
754,3.68,1253.0,33
755,3.18,1147.0,83
756,3.69,1175.0,32
757,3.58,1067.0,43
758,4.0,1250.0,1
759,3.31,943.0,70
760,3.13,883.0,88
761,2.02,960.0,160
762,2.47,795.0,147
763,3.22,1024.0,79
764,4.0,1120.0,1
765,3.34,1099.0,67
766,3.77,1206.0,24
767,3.93,1102.0,8
768,3.43,1066.0,58
769,2.59,1027.0,138
770,3.46,964.0,55
771,3.41,1192.0,60
772,3.17,1051.0,84
773,3.87,1246.0,14
774,3.5,1089.0,51
775,3.31,1016.0,70
776,3.06,1170.0,95
777,3.41,1080.0,60
778,3.01,841.0,100
779,3.88,1309.0,13
780,3.65,1365.0,36
781,3.44,985.0,57
782,3.35,933.0,66
783,3.05,1035.0,96
784,3.25,1090.0,76
785,3.51,984.0,50
786,4.0,1345.0,1
787,3.04,1077.0,97
788,3.91,1227.0,10
789,3.33,1105.0,68
790,4.0,1160.0,1
791,4.0,1119.0,1
792,3.13,1126.0,88
793,3.68,905.0,33
794,3.11,963.0,90
795,3.53,1192.0,48
796,4.0,1037.0,1
797,3.82,1173.0,19
798,3.43,955.0,58
799,3.16,1062.0,85
800,3.23,1108.0,78
801,3.92,1214.0,9
802,3.93,1185.0,8
803,3.47,1308.0,54
804,4.0,1200.0,1
805,4.0,1148.0,1
806,2.96,972.0,105
807,4.0,1334.0,1
808,2.76,888.0,125
809,3.0,1088.0,101
810,4.0,1326.0,1
811,4.0,1290.0,1
812,3.93,1174.0,8
813,3.27,890.0,74
814,3.52,992.0,49
815,3.71,996.0,30
816,3.69,1180.0,32
817,3.63,1222.0,38
818,3.61,1229.0,40
819,3.88,1205.0,13
820,3.54,1264.0,47
821,3.41,1027.0,60
822,4.0,1282.0,1
823,3.75,1183.0,26
824,3.9,1247.0,11
825,3.44,1097.0,57
826,3.71,1193.0,30
827,3.98,1326.0,3
828,3.98,1193.0,3
829,3.26,1094.0,75
830,4.0,1194.0,1
831,4.0,1073.0,1
832,3.84,1131.0,17
833,3.46,997.0,55
834,3.18,975.0,83
835,3.51,1294.0,50
836,3.11,1145.0,90
837,4.0,1086.0,1
838,3.53,1149.0,48
839,3.56,963.0,45
840,3.7,818.0,31
841,2.39,950.0,151
842,3.93,1012.0,8
843,4.0,1317.0,1
844,3.38,1027.0,63
845,3.62,1038.0,39
846,3.46,1225.0,55
847,3.8,1232.0,21
848,3.64,1016.0,37
849,4.0,1076.0,1
850,3.11,1086.0,90
851,3.57,989.0,44
852,3.65,1084.0,36
853,3.44,1066.0,57
854,3.57,1231.0,44
855,2.93,819.0,108
856,3.46,1167.0,55
857,3.78,1269.0,23
858,3.08,1150.0,93
859,2.63,854.0,137
860,3.81,1237.0,20
861,3.24,1061.0,77
862,3.06,737.0,95
863,3.29,1037.0,72
864,3.68,1126.0,33
865,3.09,1011.0,92
866,3.79,1375.0,22
867,3.02,1003.0,99
868,3.65,1144.0,36
869,3.53,982.0,48
870,2.81,1017.0,120
871,3.66,950.0,35
872,3.79,1112.0,22
873,3.43,1031.0,58
874,3.14,1201.0,87
875,3.74,1082.0,27
876,2.77,989.0,124
877,4.0,1012.0,1
878,3.66,1314.0,35
879,3.95,1102.0,6
880,4.0,1395.0,1
881,3.25,967.0,76
882,2.85,1029.0,116
883,2.95,992.0,106
884,3.7,1020.0,31
885,4.0,1086.0,1
886,4.0,1198.0,1
887,2.57,787.0,140
888,4.0,1296.0,1
889,4.0,1186.0,1
890,3.96,1054.0,5
891,3.08,1000.0,93
892,3.34,1165.0,67
893,3.2,924.0,81
894,3.25,1138.0,76
895,3.12,908.0,89
896,4.0,1074.0,1
897,3.44,1131.0,57
898,3.14,894.0,87
899,3.61,1087.0,40
900,3.6,1226.0,41
901,3.5,1175.0,51
902,2.7,919.0,131
903,2.23,909.0,157
904,3.55,1012.0,46
905,3.28,1085.0,73
906,3.7,1087.0,31
907,3.41,942.0,60
908,4.0,1310.0,1
909,2.83,927.0,118
910,3.09,760.0,92
911,3.73,1120.0,28
912,3.28,906.0,73
913,4.0,994.0,1
914,4.0,1166.0,1
915,3.76,1165.0,25
916,2.69,1080.0,132
917,4.0,1292.0,1
918,3.19,1078.0,82
919,3.02,947.0,99
920,3.77,1110.0,24
921,3.86,1152.0,15
922,3.72,1271.0,29
923,4.0,1190.0,1
924,3.52,840.0,49
925,4.0,1130.0,1
926,3.62,1183.0,39
927,3.49,1192.0,52
928,3.43,1027.0,58
929,3.55,1180.0,46
930,3.75,1073.0,26
931,3.63,1310.0,38
932,3.17,1088.0,84
933,4.0,1202.0,1
934,2.94,949.0,107
935,3.13,995.0,88
936,3.73,1039.0,28
937,2.45,956.0,149
938,3.18,966.0,83
939,3.19,913.0,82
940,2.7,771.0,131
941,3.18,1113.0,83
942,3.95,1184.0,6
943,3.47,1068.0,54
944,4.0,1110.0,1
945,4.0,1393.0,1
946,2.73,879.0,128
947,2.98,878.0,103
948,3.52,1190.0,49
949,3.37,1018.0,64
950,3.87,1148.0,14
951,3.07,982.0,94
952,4.0,1221.0,1
953,3.5,1155.0,51
954,4.0,1419.0,1
955,2.53,1040.0,143
956,3.4,1173.0,61
957,4.0,1178.0,1
958,1.99,896.0,162
959,3.46,988.0,55
960,3.59,994.0,42
961,3.66,1140.0,35
962,3.21,983.0,80
963,2.82,894.0,119
964,4.0,1245.0,1
965,3.92,1146.0,9
966,3.65,1054.0,36
967,3.2,911.0,81
968,3.84,1356.0,17
969,4.0,1079.0,1
970,3.6,1124.0,41
971,4.0,1248.0,1
972,3.61,1256.0,40
973,3.41,942.0,60
974,3.55,1069.0,46
975,3.69,1058.0,32
976,3.08,1068.0,93
977,3.96,1171.0,5
978,4.0,1244.0,1
979,3.81,1163.0,20
980,3.49,1171.0,52
981,3.19,1075.0,82
982,3.57,1011.0,44
983,3.81,1036.0,20
984,3.09,913.0,92
985,3.64,1025.0,37
986,3.46,1084.0,55
987,3.37,950.0,64
988,2.89,1040.0,112
989,3.66,1170.0,35
990,3.02,1113.0,99
991,3.86,1130.0,15
992,2.9,1076.0,111
993,3.58,1195.0,43
994,3.59,969.0,42
995,2.88,876.0,113
996,3.18,922.0,83
997,3.18,1140.0,83
998,3.95,1174.0,6
999,3.21,968.0,80
1000,4.0,1300.0,1
